fold,pretrained_model,batchsize,optimizer,val_top1_acc,val_top5_acc,test_top1_acc,test_top5_acc
1,yolo11m-cls,4,SGD,0.8602150678634644,1.0,0.8525345325469971,1.0
2,yolo11m-cls,4,SGD,0.9103942513465881,1.0,0.8479262590408325,1.0
3,yolo11m-cls,4,SGD,0.8848921060562134,1.0,0.8755760192871094,1.0
4,yolo11m-cls,4,SGD,0.9100719690322876,1.0,0.8525345325469971,1.0
5,yolo11m-cls,4,SGD,0.8884891867637634,1.0,0.843317985534668,1.0
6,yolo11m-cls,4,SGD,0.8709677457809448,1.0,0.8571428656578064,1.0
7,yolo11m-cls,4,SGD,0.8709677457809448,1.0,0.8202764987945557,1.0
8,yolo11m-cls,4,SGD,0.8956834673881531,1.0,0.8709677457809448,1.0
9,yolo11m-cls,4,SGD,0.8812949657440186,1.0,0.8064516186714172,1.0
10,yolo11m-cls,4,SGD,0.8848921060562134,1.0,0.8571428656578064,1.0
11,yolo11m-cls,4,SGD,0.8745519518852234,1.0,0.8294931054115295,1.0
12,yolo11m-cls,4,SGD,0.8888888955116272,1.0,0.861751139163971,1.0
13,yolo11m-cls,4,SGD,0.8884891867637634,1.0,0.8663594722747803,1.0
14,yolo11m-cls,4,SGD,0.8884891867637634,1.0,0.8847926259040833,1.0
15,yolo11m-cls,4,SGD,0.8920863270759583,1.0,0.8341013789176941,1.0
16,yolo11m-cls,4,SGD,0.8602150678634644,1.0,0.8479262590408325,1.0
17,yolo11m-cls,4,SGD,0.9139785170555115,1.0,0.8248847723007202,1.0
18,yolo11m-cls,4,SGD,0.9064748287200928,1.0,0.8018433451652527,1.0
19,yolo11m-cls,4,SGD,0.8812949657440186,1.0,0.8479262590408325,1.0
20,yolo11m-cls,4,SGD,0.8992805480957031,1.0,0.861751139163971,1.0
21,yolo11m-cls,4,SGD,0.8996415734291077,1.0,0.8755760192871094,1.0
22,yolo11m-cls,4,SGD,0.8853046298027039,1.0,0.8525345325469971,1.0
23,yolo11m-cls,4,SGD,0.902877688407898,1.0,0.8709677457809448,1.0
24,yolo11m-cls,4,SGD,0.9136690497398376,1.0,0.9032257795333862,1.0
25,yolo11m-cls,4,SGD,0.9100719690322876,1.0,0.8525345325469971,1.0
